sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,0,S1_1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,"The exact contour of face, head, shoulders and body.","content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='35609edd-c17d-4dd2-9849-c6f8b2b75609' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,1,S1_2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,"Characteristic poses of head, attitudes of body, etc.","content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='2a38b8fa-0993-4af0-bcc5-45a1df05162f' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,2,S1_3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,"The precise carriage, length of step, etc. in walking.","content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='1e5f1d73-2dcf-4858-a2b9-a2e4d6163857' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,3,S1_4,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,The different colours worn in some familiar clothes.,"content=""{'Vividness': 3}"" additional_kwargs={} response_metadata={} id='1ec49cba-de86-4a66-823d-62307b17a446' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,4,S2_1,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,The sun is rising above the horizon into a hazy sky.,"content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='809f6441-5dcf-4d84-ae94-ec5bf7d77351' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,5,S2_2,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,The sky clears and surrounds the sun with blueness.,"content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='0bfa1052-8484-49e2-b74b-009f54684214' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,6,S2_3,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,"Clouds. A storm blows up, with flashes of lightning strikes.","content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='572851c8-ce29-4ef1-be41-d07e8d8753e9' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,7,S2_4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,A rainbow appears.,"content=""{'Vividness': 5}"" additional_kwargs={} response_metadata={} id='6a84d4bb-6ca6-4b55-aec3-bdd62b139750' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,8,S3_1,Think of the front of a shop which you often go to. Consider the picture that comes before your mind's eye.,The overall appearance of the shop from the opposite side of the road.,"content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='b495ffc1-92e4-45b9-961a-53d495a08ccb' tool_calls=[] invalid_tool_calls=[]",
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,vviq16study,no,1,vviq16,imagery,item,20260507T07-09-45vviq16studyConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-vviq16study,9,S3_2,Think of the front of a shop which you often go to. Consider the picture that comes before your mind's eye.,"A window display including colour, shape and details of the articles in it.","content=""{'Vividness': 4}"" additional_kwargs={} response_metadata={} id='9ea4b1a3-58dd-4f01-a079-c69df3e31f1d' tool_calls=[] invalid_tool_calls=[]",
