sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,0,shapes_img1_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",red circle,Score: +1 (running total: 1).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,1,shapes_img5_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",purple square,Score: +1 (running total: 2).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,2,shapes_img3_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",green triangle,Score: +1 (running total: 3).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,3,shapes_img6_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",orange circle,Score: +1 (running total: 4).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,4,shapes_img4_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",yellow diamond,Score: +1 (running total: 5).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,5,shapes_img2_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",blue square,Score: +1 (running total: 6).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,6,shapes_img3_b2,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",green triangle,Score: +1 (running total: 7).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,7,shapes_img6_b2,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",orange circle,Score: +1 (running total: 8).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,8,shapes_img4_b2,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",yellow diamond,Score: +1 (running total: 9).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,9,shapes_img5_b2,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",purple square,Score: +1 (running total: 10).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,10,shapes_img1_b2,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",red circle,Score: +1 (running total: 11).
0,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward0,sidx-[0]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,11,shapes_img2_b2,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",blue square,Score: +1 (running total: 12).
1,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward1,sidx-[1]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,0,shapes_img1_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",red circle,Score: +1 (running total: 1).
1,google/gemma-4-26b-a4b-it:free,openrouter,SingleTurn,-1,singleturn_reward,no,none,singleturn_reward,vqa,task,20260806T22-05-36singleturn_rewardSingleTurnsingleturn_reward1,sidx-[1]-model-google/gemma-4-26b-a4b-it:free-family-openrouter-memory-SingleTurn-singleturn_reward,1,shapes_img5_b1,shape naming,"[{""type"": ""image"", ""mime_type"": ""image/png""}, {""type"": ""text""}]",purple square,Score: +1 (running total: 2).
