sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,0,L0_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'cat' is paired with 'umbrella'.,"For the word pair ""cat"" and ""umbrella"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,1,L0_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'moon' is paired with 'pencil'.,"For the word pair ""moon"" and ""pencil"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,2,L0_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'tree' is paired with 'sock'.,"For the word pair ""tree"" and ""sock"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,3,L25_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'lion' is paired with 'tiger'.,"For the word pair ""lion"" and ""tiger"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,4,L25_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'rose' is paired with 'daisy'.,"For the word pair ""rose"" and ""daisy"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,5,L25_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'oak' is paired with 'pine'.,"For the word pair ""oak"" and ""pine"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,6,L50_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'bee' is paired with 'honey'.,"For the word pair ""bee"" and ""honey"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,7,L50_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'fire' is paired with 'smoke'.,"For the word pair ""fire"" and ""smoke"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,8,L50_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'pen' is paired with 'ink'.,"For the word pair ""pen"" and ""ink"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,9,L75_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'salt' is paired with 'pepper'.,"For the word pair ""salt"" and ""pepper"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,10,L75_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'bread' is paired with 'butter'.,"For the word pair ""bread"" and ""butter"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,11,L75_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'black' is paired with 'white'.,"For the word pair ""black"" and ""white"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,12,L100_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'big' is paired with 'large'.,"For the word pair ""big"" and ""large"", I will remember that they are associated with each other for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-52-59pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_feedback_ci,13,L100_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'happy' is paired with 'joyful'.,"For the word pair ""happy"" and ""joyful"", I will remember that they are associated with each other for the test phase.",,,
