sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence,condition,level,similarity,word2,recalled_word,correct
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,15,L0_tst_01,,TEST PHASE — What word was paired with 'cat' during the study phase?,"{'recalled_word': 'umbrella', 'confidence': 5}",,umbrella,5.0,episodic_chain,L0,0.0,umbrella,umbrella,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,16,L0_tst_02,,TEST PHASE — What word was paired with 'moon' during the study phase?,"{'recalled_word': 'pencil', 'confidence': 5}",,pencil,5.0,episodic_chain,L0,0.0,pencil,pencil,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,17,L0_tst_03,,TEST PHASE — What word was paired with 'tree' during the study phase?,"{'recalled_word': 'sock', 'confidence': 5}",,sock,5.0,episodic_chain,L0,0.0,sock,sock,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,18,L25_tst_01,,TEST PHASE — What word was paired with 'lion' during the study phase?,"{'recalled_word': 'tiger', 'confidence': 5}",,tiger,5.0,episodic_chain,L25,0.25,tiger,tiger,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,19,L25_tst_02,,TEST PHASE — What word was paired with 'rose' during the study phase?,"{'recalled_word': 'daisy', 'confidence': 5}",,daisy,5.0,episodic_chain,L25,0.25,daisy,daisy,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,20,L25_tst_03,,TEST PHASE — What word was paired with 'oak' during the study phase?,"{'recalled_word': 'pine', 'confidence': 5}",,pine,5.0,episodic_chain,L25,0.25,pine,pine,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,21,L50_tst_01,,TEST PHASE — What word was paired with 'bee' during the study phase?,"{'recalled_word': 'honey', 'confidence': 5}",,honey,5.0,episodic_chain,L50,0.5,honey,honey,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,22,L50_tst_02,,TEST PHASE — What word was paired with 'fire' during the study phase?,"{'recalled_word': 'smoke', 'confidence': 5}",,smoke,5.0,episodic_chain,L50,0.5,smoke,smoke,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,23,L50_tst_03,,TEST PHASE — What word was paired with 'pen' during the study phase?,"{'recalled_word': 'ink', 'confidence': 5}",,ink,5.0,episodic_chain,L50,0.5,ink,ink,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,24,L75_tst_01,,TEST PHASE — What word was paired with 'salt' during the study phase?,"{'recalled_word': 'pepper', 'confidence': 5}",,pepper,5.0,episodic_chain,L75,0.75,pepper,pepper,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,25,L75_tst_02,,TEST PHASE — What word was paired with 'bread' during the study phase?,"{'recalled_word': 'butter', 'confidence': 5}",,butter,5.0,episodic_chain,L75,0.75,butter,butter,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,26,L75_tst_03,,TEST PHASE — What word was paired with 'black' during the study phase?,"{'recalled_word': 'white', 'confidence': 5}",,white,5.0,episodic_chain,L75,0.75,white,white,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,27,L100_tst_01,,TEST PHASE — What word was paired with 'big' during the study phase?,"{'recalled_word': 'large', 'confidence': 5}",,large,5.0,episodic_chain,L100,1.0,large,large,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,28,L100_tst_02,,TEST PHASE — What word was paired with 'happy' during the study phase?,"{'recalled_word': 'joyful', 'confidence': 5}",,joyful,5.0,episodic_chain,L100,1.0,joyful,joyful,True
0,groq-openai-gpt-oss-120b,groq,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-30-07pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_episodic_chain,29,L100_tst_03,,TEST PHASE — What word was paired with 'fast' during the study phase?,"{'recalled_word': 'quick', 'confidence': 5}",,quick,5.0,episodic_chain,L100,1.0,quick,quick,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,15,L0_tst_01,,TEST PHASE — What word was paired with 'cat' during the study phase?,"{'recalled_word': 'umbrella', 'confidence': 1}",,umbrella,1.0,episodic_chain,L0,0.0,umbrella,umbrella,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,16,L0_tst_02,,TEST PHASE — What word was paired with 'moon' during the study phase?,"{'recalled_word': 'pencil', 'confidence': 1}",,pencil,1.0,episodic_chain,L0,0.0,pencil,pencil,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,17,L0_tst_03,,TEST PHASE — What word was paired with 'tree' during the study phase?,"{'recalled_word': 'sock', 'confidence': 1}",,sock,1.0,episodic_chain,L0,0.0,sock,sock,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,18,L25_tst_01,,TEST PHASE — What word was paired with 'lion' during the study phase?,"{'recalled_word': 'tiger', 'confidence': 1}",,tiger,1.0,episodic_chain,L25,0.25,tiger,tiger,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,19,L25_tst_02,,TEST PHASE — What word was paired with 'rose' during the study phase?,"{'recalled_word': 'daisy', 'confidence': 1}",,daisy,1.0,episodic_chain,L25,0.25,daisy,daisy,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,20,L25_tst_03,,TEST PHASE — What word was paired with 'oak' during the study phase?,"{'recalled_word': 'pine', 'confidence': 1}",,pine,1.0,episodic_chain,L25,0.25,pine,pine,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,21,L50_tst_01,,TEST PHASE — What word was paired with 'bee' during the study phase?,"{'recalled_word': 'honey', 'confidence': 1}",,honey,1.0,episodic_chain,L50,0.5,honey,honey,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,22,L50_tst_02,,TEST PHASE — What word was paired with 'fire' during the study phase?,"{'recalled_word': 'smoke', 'confidence': 1}",,smoke,1.0,episodic_chain,L50,0.5,smoke,smoke,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,23,L50_tst_03,,TEST PHASE — What word was paired with 'pen' during the study phase?,"{'recalled_word': 'ink', 'confidence': 1}",,ink,1.0,episodic_chain,L50,0.5,ink,ink,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,24,L75_tst_01,,TEST PHASE — What word was paired with 'salt' during the study phase?,"{'recalled_word': 'pepper', 'confidence': 1}",,pepper,1.0,episodic_chain,L75,0.75,pepper,pepper,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,25,L75_tst_02,,TEST PHASE — What word was paired with 'bread' during the study phase?,"{'recalled_word': 'butter', 'confidence': 1}",,butter,1.0,episodic_chain,L75,0.75,butter,butter,True
0,openrouter-meta-llama-llama-3.1-8b-instruct,openrouter,Convo,-1,pal_episodic_chain,no,0,pal_subset_block,episodic,task,20260820T11-51-43pal_episodic_chainConvopal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-Convo-pal_episodic_chain,26,L75_tst_03,,TEST PHASE — What word was paired with 'black' during the study phase?,"{'recalled_word': 'white', 'confidence': 1}",,white,1.0,episodic_chain,L75,0.75,white,white,True
